title,rating,votes,revenue (millions),metascore
kung fu panda 3,7.2,89791,143.52,66.0
the rise of the krays,5.1,1630,6.53,90.0
horrible bosses,6.9,368556,117.53,57.0
mommy,8.1,33560,3.49,74.0
hellboy ii: the golden army,7.0,216932,75.75,78.0
beautiful creatures,6.2,71822,19.45,52.0
toni erdmann,7.6,24387,1.48,93.0
the lovely bones,6.7,130702,43.98,42.0
the assassination of jesse james by the coward robert ford,7.5,143564,3.9,68.0
don jon,6.6,199973,24.48,66.0
bastille day,6.3,21089,0.04,48.0
2307: winter's dream,4.0,277,20.76,53.0
mr. right,6.3,30053,0.03,52.0
the secret life of walter mitty,7.3,249877,58.23,54.0
dope,7.3,66400,17.47,72.0
underworld awakening,6.4,127157,62.32,39.0
antichrist,6.6,94069,0.4,49.0
friday the 13th,5.6,78631,65.0,34.0
taken 3,6.0,144715,89.25,26.0
total recall,6.3,210965,58.88,43.0
x-men: the last stand,6.7,406540,234.36,58.0
night at the museum: secret of the tomb,6.2,74886,113.73,47.0
love & other drugs,6.7,151519,32.36,55.0
the interview,6.6,261536,6.11,52.0
the host,7.0,73491,2.2,85.0
knocked up,7.0,309398,148.73,85.0
source code,7.5,404884,54.7,74.0
lawless,7.3,195360,37.4,58.0
unfriended,5.6,50402,31.54,59.0
american reunion,6.7,178471,56.72,49.0
the pursuit of happyness,8.0,361105,162.59,64.0
relatos salvajes,8.1,110100,3.08,77.0
frantz,7.5,4304,0.86,73.0
burnt,6.6,76469,13.65,42.0
vampire academy,5.6,44111,7.79,30.0
sweeney todd: the demon barber of fleet street,7.4,296289,52.88,83.0
insidious,6.8,219916,53.99,52.0
popstar: never stop never stopping,6.7,30875,9.39,68.0
public enemies,7.0,240323,97.03,70.0
boyhood,7.9,286722,25.36,100.0
teenage mutant ninja turtles,5.9,178527,190.87,31.0
eastern promises,7.7,198006,17.11,82.0
the daughter,6.7,2798,0.03,62.0
pineapple express,7.0,267872,87.34,64.0
the first time,6.9,54027,0.02,55.0
gone baby gone,7.7,206707,20.3,72.0
the heat,6.6,140151,159.58,60.0
l'avenir,7.1,5796,0.28,88.0
anna karenina,6.6,75291,12.8,63.0
regression,5.7,26320,0.05,32.0
ted 2,6.3,136323,81.26,48.0
pain & gain,6.5,168875,49.87,45.0
blood diamond,8.0,422014,57.37,64.0
child 44,6.5,47703,1.21,41.0
the hurt locker,7.6,352023,15.7,94.0
green lantern,5.6,231907,116.59,39.0
the mist,7.2,233346,25.59,58.0
escape plan,6.7,188004,25.12,49.0
"love, rosie",7.2,80415,0.01,44.0
the duff,6.5,57874,34.02,56.0
the age of shadows,7.2,2403,0.54,78.0
the hunger games: mockingjay - part 1,6.7,331902,337.1,64.0
we need to talk about kevin,7.5,104953,1.74,68.0
love & friendship,6.5,16164,14.01,87.0
the mortal instruments: city of bones,5.9,112313,31.17,33.0
seven pounds,7.7,245144,69.95,36.0
the king's speech,8.0,534388,138.8,88.0
hunger,7.6,54486,0.15,82.0
jumper,6.1,252503,80.17,35.0
toy story 3,8.3,586669,414.98,92.0
tinker tailor soldier spy,7.1,157053,24.1,85.0
resident evil: retribution,5.4,114144,42.35,39.0
dear zindagi,7.8,23540,1.4,56.0
pompeii,5.5,90188,23.22,39.0
life of pi,7.9,471109,124.98,79.0
i origins,7.3,86271,0.33,57.0
live free or die hard,7.2,347567,134.52,69.0
ted,7.0,494641,218.63,62.0
red,7.1,250012,90.36,60.0
australia,6.6,106115,49.55,53.0
faster,6.5,83788,23.23,44.0
the hollars,6.5,5908,1.02,53.0
the judge,7.4,146812,47.11,48.0
closed circuit,6.2,18437,5.73,50.0
transformers: revenge of the fallen,6.0,335757,402.08,35.0
